UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54451216,252,9000,באר שבע,ישיבת - באר שבע,,13,5340,179305.32302700001,572226.08099399996,0,,179305.32302700001,572226.08099399996
54448879,252,1031,שדרות,ישיבת - הסדר אפיקי דעת,,13,5340,161145.00722699999,603763.81419399998,0,,161145.00722699999,603763.81419399998
54452951,252,9000,באר שבע,ישיבה - עין יצחק,,13,5340,179530.92102700000,575091.84249399998,0,,179530.92102700000,575091.84249399998
54452242,252,31,אופקים,ישיבת - בני עקיבא,,13,5340,163665.71112699999,580107.96209399996,0,,163665.71112699999,580107.96209399996
54449859,252,9000,באר שבע,ישיבה - מוסדות המעין בנגב,,13,5340,179543.15242699999,572213.13659400004,0,,179543.15242699999,572213.13659400004
54448277,252,31,אופקים,ישיבת - אופקים תורת חיים,,13,5340,164375.45522700000,579844.68059400003,2014,2015-07,164375.45522700000,579844.68059400003
54447857,252,1031,שדרות,ישיבת - שדרות,,13,5340,161866.37982700000,604332.16659399995,0,,161866.37982700000,604332.16659399995
54451475,252,246,נתיבות,ישיבה - בני עקיבא,Bne Akiva Yeshiva,13,5340,160863.17612700001,592854.23619400000,0,,160863.17612700001,592854.23619400000
54453049,252,1031,שדרות,ישיבת - לב לדעת,,13,5340,161323.33412700001,604369.42509399995,2014,2015-07,161323.33412700001,604369.42509399995
54448855,252,9000,באר שבע,ישיבה - משכן מאיר,,13,5340,179979.34202700001,572363.30679399997,0,,179979.34202700001,572363.30679399997
54452983,252,9000,באר שבע,ישיבת - נתיב השבים,,13,5340,180640.22712699999,573052.00009400002,0,,180640.22712699999,573052.00009400002
54447619,252,0,,ישיבת - אור מנחם,,13,5340,211709.81892699999,605745.81219400000,2014,2015-07,211709.81892699999,605745.81219400000
54449437,252,246,נתיבות,ישיבת - ההסדר נתיבות,,13,5340,161169.09062700000,592760.90859400004,2014,2015-07,161169.09062700000,592760.90859400004
54449867,252,246,נתיבות,ישיבה - תפארת בחורים,,13,5340,159867.19302700000,591746.14909399999,2014,2015-07,159867.19302700000,591746.14909399999
54446466,252,9000,באר שבע,ישיבת - בני עקיבא אוהל שלמה,,13,5340,179959.52822700000,575697.11619400000,2014,2015-07,179959.52822700000,575697.11619400000
54447293,252,0,,ישיבת - הסדר ניר,,13,5340,211060.57212699999,603934.78529399994,2014,2015-07,211060.57212699999,603934.78529399994
54451550,252,0,,ישיבה - מכון לציון ברינה,Makhon LeTsiyyon BeRinna Yeshiva,13,5340,212174.07722700000,623086.70329400001,0,,212174.07722700000,623086.70329400001
54452493,252,3000,ירושלים,ישיבת - מור,,13,5340,221046.06552700000,635148.12219400005,0,,221046.06552700000,635148.12219400005
54449792,252,3000,ירושלים,"ישיבת - תורת אמת חב""ד",,13,5340,220331.63952699999,633399.75019399996,0,,220331.63952699999,633399.75019399996
